Common Name,Scientific Name,Count,Threshold
RedJunglefowl,Gallus gallus,60,0.5099999904632568
CollaredPratincole,Glareola pratincola,60,0.22999998927116394
RuddyShelduck,Tadorna ferruginea,60,0.7400000095367432
AlexandrineParakeet,Psittacula eupatria,61,0.5
RedPhalarope,Phalaropus fulicarius,61,0.22999998927116394
BlackWheatear,Oenanthe leucura,61,0.5600000023841858
CommonLoon,Gavia immer,62,0.6600000262260437
EasternOrpheanWarbler,Curruca crassirostris,62,0.4599999785423279
BlackFrancolin,Francolinus francolinus,62,0.5699999928474426
CaliforniaQuail,Callipepla californica,63,0.29999998211860657
AfricanReedWarbler,Acrocephalus baeticatus,63,0.7699999809265137
IsabellineWheatear,Oenanthe isabellina,63,0.8400000333786011
MarmorasWarbler,Curruca sarda,63,0.6299999952316284
MarshSandpiper,Tringa stagnatilis,63,0.8199999928474426
Razorbill,Alca torda,64,0.5400000214576721
WesternSubalpineWarbler,Curruca iberiae,65,0.5699999928474426
PectoralSandpiper,Calidris melanotos,67,0.3199999928474426
White-wingedTern,Chlidonias leucopterus,68,0.29999998211860657
Black-throatedLoon,Gavia arctica,68,0.35999998450279236
Merlin,Falco columbarius,68,0.3199999928474426
Red-flankedBluetail,Tarsiger cyanurus,69,0.4599999785423279
PaddyfieldWarbler,Acrocephalus agricola,69,0.7300000190734863
LittleStint,Calidris minuta,69,0.4099999964237213
TerekSandpiper,Xenus cinereus,70,0.4599999785423279
EuropeanRoller,Coracias garrulus,70,0.4599999785423279
WesternOsprey,Pandion haliaetus,71,0.32999998331069946
TemmincksStint,Calidris temminckii,71,0.28999999165534973
RoseateTern,Sterna dougallii,74,0.35999998450279236
ParasiticJaeger,Stercorarius parasiticus,75,0.23999999463558197
ManxShearwater,Puffinus puffinus,76,0.6899999976158142
TaigaBeanGoose,Anser fabalis,76,0.6600000262260437
Red-neckedPhalarope,Phalaropus lobatus,78,0.9399999976158142
GreenWarbler,Phylloscopus nitidus,78,0.3799999952316284
Long-tailedDuck,Clangula hyemalis,79,0.8400000333786011
CommonRockThrush,Monticola saxatilis,79,0.6500000357627869
HornedLark,Eremophila alpestris,79,0.44999998807907104
IberianGreyShrike,Lanius meridionalis,79,0.6399999856948853
WesternBlack-earedWheatear,Oenanthe hispanica,80,0.6100000143051147
GlossyIbis,Plegadis falcinellus,80,0.07999999821186066
White-wingedSnowfinch,Montifringilla nivalis,82,0.19999998807907104
Olive-backedPipit,Anthus hodgsoni,82,0.32999998331069946
AfricanBlueTit,Cyanistes teneriffae,82,0.8899999856948853
CurlewSandpiper,Calidris ferruginea,83,0.429999977350235
ArcticWarbler,Phylloscopus borealis,84,0.2199999988079071
CommonPochard,Aythya ferina,84,0.2199999988079071
WesternCattleEgret,Bubulcus ibis,87,0.3199999928474426
Red-neckedGrebe,Podiceps grisegena,87,0.5600000023841858
GreatEgret,Ardea alba,89,0.4399999976158142
RockDove,Columba livia,91,0.23999999463558197
CanaryIslandsChiffchaff,Phylloscopus canariensis,92,0.7200000286102295
CommonMurre,Uria aalge,92,0.1899999976158142
HornedGrebe,Podiceps auritus,92,0.5400000214576721
SyrianWoodpecker,Dendrocopos syriacus,92,0.25999999046325684
MandarinDuck,Aix galericulata,95,0.44999998807907104
Gull-billedTern,Gelochelidon nilotica,95,0.07999999821186066
Red-neckedNightjar,Caprimulgus ruficollis,98,0.4599999785423279
NorthernPintail,Anas acuta,101,0.11999999731779099
DupontsLark,Chersophilus duponti,102,0.550000011920929
CommonEider,Somateria mollissima,103,0.5
EuropeanHoneyBuzzard,Pernis apivorus,104,0.6600000262260437
LesserKestrel,Falco naumanni,104,0.44999998807907104
CitrineWagtail,Motacilla citreola,107,0.6800000071525574
Sanderling,Calidris alba,107,0.6600000262260437
GoldenEagle,Aquila chrysaetos,108,0.28999999165534973
CaspianGull,Larus cachinnans,108,0.6299999952316284
AquaticWarbler,Acrocephalus paludicola,109,0.32999998331069946
CommonMerganser,Mergus merganser,109,0.6399999856948853
RedKnot,Calidris canutus,109,0.5199999809265137
AlpineChough,Pyrrhocorax graculus,112,0.6899999976158142
BlackKite,Milvus migrans,112,0.25
EasternOlivaceousWarbler,Iduna pallida,113,0.7599999904632568
LittleGull,Hydrocoloeus minutus,113,0.5799999833106995
Red-leggedPartridge,Alectoris rufa,113,0.09999999403953552
CitrilFinch,Carduelis citrinella,115,0.5400000214576721
AlpineSwift,Tachymarptis melba,116,0.6500000357627869
EurasianCragMartin,Ptyonoprogne rupestris,116,0.5099999904632568
GreatSnipe,Gallinago media,116,0.6299999952316284
DuskyWarbler,Phylloscopus fuscatus,116,0.7900000214576721
AlpineAccentor,Prunella collaris,117,0.5199999809265137
NorthernShoveler,Spatula clypeata,117,0.1599999964237213
BlueRockThrush,Monticola solitarius,117,0.699999988079071
RedKite,Milvus milvus,118,0.41999998688697815
MontagusHarrier,Circus pygargus,120,0.19999998807907104
ItalianSparrow,Passer italiae,121,0.22999998927116394
WhiteStork,Ciconia ciconia,121,0.6800000071525574
MoltonisWarbler,Curruca subalpina,122,0.8899999856948853
Black-leggedKittiwake,Rissa tridactyla,125,0.20999999344348907
Black-wingedKite,Elanus caeruleus,125,0.7099999785423279
SpanishSparrow,Passer hispaniolensis,125,0.32999998331069946
WillowPtarmigan,Lagopus lagopus,125,0.5799999833106995
CorysShearwater,Calonectris borealis,127,0.7200000286102295
WoodchatShrike,Lanius senator,127,0.800000011920929
CommonWaxbill,Estrilda astrild,127,0.23999999463558197
Twite,Linaria flavirostris,129,0.5199999809265137
SpectacledWarbler,Curruca conspicillata,129,0.2199999988079071
Rufous-tailedScrubRobin,Cercotrichas galactotes,130,0.5699999928474426
EurasianSparrowhawk,Accipiter nisus,130,0.5900000333786011
LittleBunting,Emberiza pusilla,130,0.7099999785423279
SiberianJay,Perisoreus infaustus,131,0.29999998211860657
PineGrosbeak,Pinicola enucleator,131,0.35999998450279236
AtlanticCanary,Serinus canaria,132,0.6899999976158142
MoustachedWarbler,Acrocephalus melanopogon,132,0.5600000023841858
Black-headedBunting,Emberiza melanocephala,133,0.1899999976158142
Red-rumpedSwallow,Cecropis daurica,134,0.3999999761581421
WesternCapercaillie,Tetrao urogallus,134,0.5600000023841858
BlackTern,Chlidonias niger,135,0.429999977350235
Garganey,Spatula querquedula,139,0.3400000035762787
GreaterShort-toedLark,Calandrella brachydactyla,140,0.10999999940395355
TundraSwan,Cygnus columbianus,141,0.8600000143051147
MediterraneanShort-toedLark,Alaudala rufescens,142,0.5600000023841858
Two-barredCrossbill,Loxia leucoptera,145,0.7800000309944153
LittleCrake,Zapornia parva,146,0.5699999928474426
EurasianDotterel,Charadrius morinellus,147,0.7599999904632568
KentishPlover,Charadrius alexandrinus,149,0.7300000190734863
EurasianHobby,Falco subbuteo,151,0.7300000190734863
WhiskeredTern,Chlidonias hybrida,152,0.7800000309944153
CaspianTern,Hydroprogne caspia,152,0.4899999797344208
EgyptianGoose,Alopochen aegyptiaca,153,0.6000000238418579
Bar-tailedGodwit,Limosa lapponica,153,0.550000011920929
Slender-billedGull,Chroicocephalus genei,154,0.47999998927116394
PurpleHeron,Ardea purpurea,159,0.3400000035762787
White-tailedEagle,Haliaeetus albicilla,159,0.429999977350235
GreyPartridge,Perdix perdix,160,0.35999998450279236
CommonGoldeneye,Bucephala clangula,161,0.29999998211860657
BrantGoose,Branta bernicla,163,0.6600000262260437
IberianMagpie,Cyanopica cooki,163,0.11999999731779099
TuftedDuck,Aythya fuligula,163,0.38999998569488525
Short-earedOwl,Asio flammeus,164,0.4699999988079071
WesternSwamphen,Porphyrio porphyrio,164,0.19999998807907104
WesternOrpheanWarbler,Curruca hortensis,167,0.8400000333786011
GreatCormorant,Phalacrocorax carbo,175,0.6100000143051147
GreatSpottedCuckoo,Clamator glandarius,176,0.26999998092651367
GreaterFlamingo,Phoenicopterus roseus,177,0.41999998688697815
RusticBunting,Emberiza rustica,180,0.7699999809265137
TheklasLark,Galerida theklae,181,0.6600000262260437
White-throatedDipper,Cinclus cinclus,181,0.5600000023841858
RockSparrow,Petronia petronia,181,0.35999998450279236
SnowBunting,Plectrophenax nivalis,181,0.5900000333786011
MediterraneanGull,Ichthyaetus melanocephalus,182,0.35999998450279236
PeregrineFalcon,Falco peregrinus,182,0.47999998927116394
UralOwl,Strix uralensis,186,0.6000000238418579
GreatBlack-backedGull,Larus marinus,187,0.4099999964237213
BaillonsCrake,Zapornia pusilla,188,0.3199999928474426
BohemianWaxwing,Bombycilla garrulus,188,0.38999998569488525
StockDove,Columba oenas,191,0.47999998927116394
GreatGreyShrike,Lanius excubitor,191,0.7099999785423279
Pink-footedGoose,Anser brachyrhynchus,191,0.6500000357627869
Red-billedChough,Pyrrhocorax pyrrhocorax,193,0.8100000023841858
CommonScoter,Melanitta nigra,194,0.6700000166893005
Red-throatedLoon,Gavia stellata,196,0.47999998927116394
PallidSwift,Apus pallidus,198,0.6800000071525574
SandMartin,Riparia riparia,198,0.25999999046325684
BlackGrouse,Lyrurus tetrix,199,0.6200000047683716
LesserBlack-backedGull,Larus fuscus,205,0.7200000286102295
IberianGreenWoodpecker,Picus sharpei,211,0.5400000214576721
WesternMarshHarrier,Circus aeruginosus,217,0.28999999165534973
EuropeanRockPipit,Anthus petrosus,229,0.8199999928474426
HumesLeafWarbler,Phylloscopus humei,229,0.2199999988079071
GreatCrestedGrebe,Podiceps cristatus,231,0.3999999761581421
Rose-ringedParakeet,Psittacula krameri,234,0.41999998688697815
SpottedRedshank,Tringa erythropus,234,0.6899999976158142
EurasianPendulineTit,Remiz pendulinus,241,0.6200000047683716
Red-throatedPipit,Anthus cervinus,244,0.4699999988079071
SpottedNutcracker,Nucifraga caryocatactes,248,0.6000000238418579
RuddyTurnstone,Arenaria interpres,251,0.6600000262260437
LaplandLongspur,Calcarius lapponicus,256,0.5799999833106995
RockBunting,Emberiza cia,257,0.5799999833106995
White-backedWoodpecker,Dendrocopos leucotos,259,0.5
CalandraLark,Melanocorypha calandra,263,0.7099999785423279
BeardedReedling,Panurus biarmicus,267,0.44999998807907104
LittleTern,Sternula albifrons,274,0.6800000071525574
CommonShelduck,Tadorna tadorna,280,0.2199999988079071
HazelGrouse,Tetrastes bonasia,282,0.6500000357627869
CommonPheasant,Phasianus colchicus,284,0.07999999821186066
EuropeanTurtleDove,Streptopelia turtur,284,0.3100000023841858
SpotlessStarling,Sturnus unicolor,285,0.4899999797344208
TawnyPipit,Anthus campestris,298,0.3400000035762787
