Common Name,Scientific Name,Count,Threshold
GreyWagtail,Motacilla cinerea,473,0.26999998092651367
SavisWarbler,Locustella luscinioides,473,0.07000000029802322
Grey-headedWoodpecker,Picus canus,483,0.1599999964237213
EurasianBittern,Botaurus stellaris,486,0.14999999105930328
ZittingCisticola,Cisticola juncidis,488,0.3499999940395355
BorealOwl,Aegolius funereus,494,0.3700000047683716
Whinchat,Saxicola rubetra,503,0.1599999964237213
CommonTern,Sterna hirundo,506,0.429999977350235
CommonRosefinch,Carpodacus erythrinus,508,0.4099999964237213
EurasianEagle-Owl,Bubo bubo,509,0.20999999344348907
EurasianPygmyOwl,Glaucidium passerinum,514,0.35999998450279236
EurasianCollaredDove,Streptopelia decaocto,517,0.2199999988079071
MiddleSpottedWoodpecker,Dendrocoptes medius,521,0.25
CommonKingfisher,Alcedo atthis,522,0.5900000333786011
CommonSwift,Apus apus,522,0.4099999964237213
Red-backedShrike,Lanius collurio,524,0.3199999928474426
RingOuzel,Turdus torquatus,526,0.26999998092651367
WoodSandpiper,Tringa glareola,527,0.5099999904632568
Brambling,Fringilla montifringilla,533,0.3799999952316284
NorthernGoshawk,Accipiter gentilis,545,0.4899999797344208
Dunlin,Calidris alpina,553,0.3400000035762787
ParrotCrossbill,Loxia pytyopsittacus,558,0.6200000047683716
