ave585_species,ave585_english,w_classifier name,w_english,wikipedia link,has_ave585,has_w
Mareca penelope,EurasianWigeon,Anas_penelope,Eurasian Wigeon,http://en.wikipedia.org/wiki/Eurasian_wigeon,True,True
Mareca strepera,Gadwall,Anas_strepera,Gadwall,http://en.wikipedia.org/wiki/Gadwall,True,True
Mergellus albellus,Smew,Mergellus_albellus,Smew,http://en.wikipedia.org/wiki/Smew,True,True
Mergus serrator,Red-breastedMerganser,Mergus_serrator,Red-breasted Merganser,http://en.wikipedia.org/wiki/Red-breasted_merganser,True,True
Merops apiaster,EuropeanBee-eater,Merops_apiaster,European Bee-eater,http://en.wikipedia.org/wiki/European_bee-eater,True,True
Milvus milvus,RedKite,Milvus_milvus,Red Kite,http://en.wikipedia.org/wiki/Red_kite,True,True
Morus bassanus,NorthernGannet,Morus_bassanus,Northern Gannet,http://en.wikipedia.org/wiki/Northern_gannet,True,True
Motacilla alba,WhiteWagtail,Motacilla_alba,White Wagtail,http://en.wikipedia.org/wiki/White_wagtail,True,True
Motacilla cinerea,GreyWagtail,Motacilla_cinerea,Grey Wagtail,http://en.wikipedia.org/wiki/Grey_wagtail,True,True
Motacilla citreola,CitrineWagtail,Motacilla_citreola,Citrine Wagtail,http://en.wikipedia.org/wiki/Citrine_wagtail,True,True
Motacilla flava,WesternYellowWagtail,Motacilla_flava,Western Yellow Wagtail,http://en.wikipedia.org/wiki/Western_yellow_wagtail,True,True
Muscicapa striata,SpottedFlycatcher,Muscicapa_striata,Spotted Flycatcher,http://en.wikipedia.org/wiki/Spotted_flycatcher,True,True
Netta rufina,Red-crestedPochard,Netta_rufina,Red-crested Pochard,http://en.wikipedia.org/wiki/Red-crested_pochard,True,True
Numenius arquata,EurasianCurlew,Numenius_arquata,Eurasian Curlew,http://en.wikipedia.org/wiki/Eurasian_curlew,True,True
Numenius phaeopus,EurasianWhimbrel,Numenius_phaeopus,Whimbrel,http://en.wikipedia.org/wiki/Whimbrel,True,True
Oenanthe oenanthe,NorthernWheatear,Oenanthe_oenanthe,Northern Wheatear,http://en.wikipedia.org/wiki/Northern_wheatear,True,True
